"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2017/01/01 00:00:00","EST","N.Y.C.","61761","33.6","1.21","-20.07","1"
"2017/01/01 01:00:00","EST","N.Y.C.","61761","32.05","0.81","-22.89","1"
"2017/01/01 02:00:00","EST","N.Y.C.","61761","29.23","0.65","-21.65","1"
"2017/01/01 03:00:00","EST","N.Y.C.","61761","25.02","0.67","-17.41","1"
"2017/01/01 04:00:00","EST","N.Y.C.","61761","26.94","0.66","-19.02","1"
"2017/01/01 05:00:00","EST","N.Y.C.","61761","25.62","0.71","-17.07","1"
"2017/01/01 06:00:00","EST","N.Y.C.","61761","24.03","0.98","-12.86","1"
"2017/01/01 07:00:00","EST","N.Y.C.","61761","27.36","0.94","-16.42","1"
"2017/01/01 08:00:00","EST","N.Y.C.","61761","30.58","1.3","-16.5","1"
"2017/01/01 09:00:00","EST","N.Y.C.","61761","35.4","1.56","-18.88","1"
"2017/01/01 10:00:00","EST","N.Y.C.","61761","31.5","1.78","-12.74","1"
"2017/01/01 11:00:00","EST","N.Y.C.","61761","30.45","1.98","-9.44","1"
"2017/01/01 12:00:00","EST","N.Y.C.","61761","31.78","2.06","-10.69","1"
"2017/01/01 13:00:00","EST","N.Y.C.","61761","29.96","2.05","-8.55","1"
"2017/01/01 14:00:00","EST","N.Y.C.","61761","30.08","2.18","-7.35","1"
"2017/01/01 15:00:00","EST","N.Y.C.","61761","30.09","2.47","-5.15","1"
"2017/01/01 16:00:00","EST","N.Y.C.","61761","35.3","3.42","-0.75","1"
"2017/01/01 17:00:00","EST","N.Y.C.","61761","45.54","4.18","0","1"
"2017/01/01 18:00:00","EST","N.Y.C.","61761","40.93","3.99","0","1"
"2017/01/01 19:00:00","EST","N.Y.C.","61761","39.6","3.92","0","1"
"2017/01/01 20:00:00","EST","N.Y.C.","61761","37.35","3.74","-0.76","1"
"2017/01/01 21:00:00","EST","N.Y.C.","61761","35.54","3.05","-5.47","1"
"2017/01/01 22:00:00","EST","N.Y.C.","61761","31.84","2.5","-5.98","1"
"2017/01/01 23:00:00","EST","N.Y.C.","61761","29.81","2.38","-2.67","1"
"2017/01/02 00:00:00","EST","N.Y.C.","61761","36.16","2.42","-8.53","1"
"2017/01/02 01:00:00","EST","N.Y.C.","61761","35.07","1.77","-14.32","1"
"2017/01/02 02:00:00","EST","N.Y.C.","61761","30.14","1.82","-8.9","1"
"2017/01/02 03:00:00","EST","N.Y.C.","61761","27.35","1.4","-11","1"
"2017/01/02 04:00:00","EST","N.Y.C.","61761","29.9","1.77","-8.89","1"
"2017/01/02 05:00:00","EST","N.Y.C.","61761","29.9","1.92","-6.18","1"
"2017/01/02 06:00:00","EST","N.Y.C.","61761","32.03","2.17","-5.79","1"
"2017/01/02 07:00:00","EST","N.Y.C.","61761","35.55","1.6","-16.37","1"
"2017/01/02 08:00:00","EST","N.Y.C.","61761","38.98","1.74","-19.5","1"
"2017/01/02 09:00:00","EST","N.Y.C.","61761","43.58","1.97","-21.14","1"
"2017/01/02 10:00:00","EST","N.Y.C.","61761","39.17","2.32","-14.59","1"
"2017/01/02 11:00:00","EST","N.Y.C.","61761","39.42","2.67","-11.33","1"
"2017/01/02 12:00:00","EST","N.Y.C.","61761","39.52","2.76","-10.52","1"
"2017/01/02 13:00:00","EST","N.Y.C.","61761","37.79","2.9","-7.77","1"
"2017/01/02 14:00:00","EST","N.Y.C.","61761","36.07","2.62","-9.87","1"
"2017/01/02 15:00:00","EST","N.Y.C.","61761","36.99","2.61","-10.63","1"
"2017/01/02 16:00:00","EST","N.Y.C.","61761","43.85","3.76","-6.26","1"
"2017/01/02 17:00:00","EST","N.Y.C.","61761","56.59","5.56","-0.07","1"
"2017/01/02 18:00:00","EST","N.Y.C.","61761","49.95","4.68","-2.33","1"
"2017/01/02 19:00:00","EST","N.Y.C.","61761","45.8","4.19","-4.55","1"
"2017/01/02 20:00:00","EST","N.Y.C.","61761","40.32","3.72","-4.79","1"
"2017/01/02 21:00:00","EST","N.Y.C.","61761","36.87","3.14","-8","1"
"2017/01/02 22:00:00","EST","N.Y.C.","61761","32.42","1.93","-12.6","1"
"2017/01/02 23:00:00","EST","N.Y.C.","61761","28.66","1.69","-9.87","1"
"2017/01/03 00:00:00","EST","N.Y.C.","61761","30.7","1.55","-10.96","1"
"2017/01/03 01:00:00","EST","N.Y.C.","61761","29.6","1.19","-14.25","1"
"2017/01/03 02:00:00","EST","N.Y.C.","61761","27.59","1.03","-13.94","1"
"2017/01/03 03:00:00","EST","N.Y.C.","61761","27.47","1.1","-13.17","1"
"2017/01/03 04:00:00","EST","N.Y.C.","61761","28.4","1.08","-14.28","1"
"2017/01/03 05:00:00","EST","N.Y.C.","61761","29.55","1.64","-7.98","1"
"2017/01/03 06:00:00","EST","N.Y.C.","61761","35.64","2.5","-5.91","1"
"2017/01/03 07:00:00","EST","N.Y.C.","61761","41.44","2.72","-9.15","1"
"2017/01/03 08:00:00","EST","N.Y.C.","61761","44.39","2.92","-11.71","1"
"2017/01/03 09:00:00","EST","N.Y.C.","61761","47.95","2.82","-16.33","1"
"2017/01/03 10:00:00","EST","N.Y.C.","61761","43.12","3.43","-8.47","1"
"2017/01/03 11:00:00","EST","N.Y.C.","61761","43.01","3.54","-6.67","1"
"2017/01/03 12:00:00","EST","N.Y.C.","61761","40.34","3.39","-6.09","1"
"2017/01/03 13:00:00","EST","N.Y.C.","61761","40","3.35","-5.88","1"
"2017/01/03 14:00:00","EST","N.Y.C.","61761","39.5","3.48","-5.47","1"
"2017/01/03 15:00:00","EST","N.Y.C.","61761","41.67","3.2","-9.35","1"
"2017/01/03 16:00:00","EST","N.Y.C.","61761","47.85","3.76","-10.78","1"
"2017/01/03 17:00:00","EST","N.Y.C.","61761","54.25","5.42","0","1"
"2017/01/03 18:00:00","EST","N.Y.C.","61761","48.78","5.03","0","1"
